state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Madhya Pradesh,Badwani,Badwani(F&V) APMC,Pumpkin,Pumpkin,Local,01/03/2026,1200.0,1200.0,1200.0
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Potato,Potato,Local,01/03/2026,500.0,1000.0,600.0
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Onion,Onion,Local,01/03/2026,1200.0,1800.0,1500.0
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,Raddish,Raddish,Local,01/03/2026,600.0,1000.0,800.0
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Pumpkin,Other,FAQ,01/03/2026,1000.0,1400.0,1200.0
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Field Pea,Field Pea,FAQ,01/03/2026,1000.0,1400.0,1200.0
Uttar Pradesh,Bulandshahar,Anoop Shahar APMC,Bottle gourd,Bottle Gourd,FAQ,01/03/2026,1600.0,2000.0,1800.0
Uttar Pradesh,Etah,Awagarh APMC,Green Chilli,Green Chilly,FAQ,01/03/2026,2400.0,2600.0,2500.0
Uttar Pradesh,Etah,Awagarh APMC,Onion,Medium,FAQ,01/03/2026,1500.0,1700.0,1600.0
Uttar Pradesh,Etah,Awagarh APMC,Potato,Desi,FAQ,01/03/2026,500.0,700.0,600.0
Uttar Pradesh,Etah,Awagarh APMC,Tomato,Hybrid,FAQ,01/03/2026,1300.0,1500.0,1400.0
Assam,Darrang,Balugaon APMC,Brinjal,Brinjal,Local,01/03/2026,2100.0,2500.0,2300.0
Assam,Darrang,Besimari APMC,Bitter gourd,Bitter Gourd,Local,01/03/2026,6100.0,6500.0,6300.0
Assam,Darrang,Besimari APMC,Capsicum,Capsicum,Local,01/03/2026,3600.0,4000.0,3800.0
West Bengal,Nadia,Karimpur APMC,Mustard,Yellow (Black),Grade Range-1,01/03/2026,6500.0,6700.0,6600.0
West Bengal,Nadia,Karimpur APMC,Potato,Other,Grade A,01/03/2026,780.0,800.0,790.0
West Bengal,Bankura,Bishnupur(Bankura) APMC,Brinjal,Round/Long,Medium,01/03/2026,2000.0,2500.0,2100.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Onion,Bellary,Local,01/03/2026,2600.0,2800.0,2700.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Coriander(Leaves),I Sort,Local,01/03/2026,5500.0,6000.0,5750.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Pumpkin,Pumpkin,Local,01/03/2026,1800.0,2000.0,1900.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Ginger(Green),Green Ginger,Local,01/03/2026,8000.0,8500.0,8250.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Sweet Potato,Hosur Red,Local,01/03/2026,2300.0,2500.0,2400.0
Tamil Nadu,Dharmapuri,Karimangalam(Uzhavar Sandhai),Knool Khol,Knool Khol,Local,01/03/2026,3600.0,3800.0,3700.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Potato,Red Nanital,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Brinjal,Round,Local,01/03/2026,2800.0,3000.0,2900.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Papaya,Papaya,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Tomato,Deshi,Local,01/03/2026,1000.0,1400.0,1200.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Banana - Green,Banana - Green,Local,01/03/2026,2000.0,2400.0,2200.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Ginger(Green),Green Ginger,Local,01/03/2026,7500.0,8000.0,7750.0
Tamil Nadu,Salem,Mecheri(Uzhavar Sandhai),Beetroot,Beetroot,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Potato,Red Nanital,Local,01/03/2026,2500.0,2500.0,2500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Coriander(Leaves),I Sort,Local,01/03/2026,3500.0,3500.0,3500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Tomato,Deshi,Local,01/03/2026,1500.0,1500.0,1500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Amaranthus,Amaranthus,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Green Chilli,Green Chilly,Local,01/03/2026,4500.0,4500.0,4500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Beans,Beans (Whole),Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Onion,Bellary,Local,01/03/2026,2600.0,2600.0,2600.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Cucumbar(Kheera),Cucumbar,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Ridgeguard(Tori),Ridgeguard(Tori),Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Chow Chow,Chow Chow,Local,01/03/2026,1500.0,1500.0,1500.0
Tamil Nadu,Vellore,Pallikonda(Uzhavar Sandhai),Tender Coconut,Tender Coconut,Local,01/03/2026,2000.0,3000.0,2500.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Brinjal,Other,Local,01/03/2026,1500.0,2000.0,1750.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Amaranthus,Amaranthus,Local,01/03/2026,3500.0,3500.0,3500.0
Tamil Nadu,Vellore,Perampet(Uzhavar Sandhai),Banana - Green,Banana - Green,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Tomato,Deshi,Local,01/03/2026,2000.0,2000.0,2000.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Amaranthus,Amaranthus,Local,01/03/2026,2000.0,2500.0,2250.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Tapioca,Tapioca,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Snakeguard,Snakeguard,Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Lemon,Lemon,Local,01/03/2026,6000.0,6000.0,6000.0
Tamil Nadu,Thanjavur,Peravurani(Uzhavar Sandhai),Onion Green,Onion Green,Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Banana,Besrai,Local,01/03/2026,6500.0,7000.0,6750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Brinjal,Round,Local,01/03/2026,4000.0,4500.0,4250.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Amaranthus,Amaranthus,Local,01/03/2026,1500.0,2000.0,1750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Green Chilli,Green Chilly,Local,01/03/2026,3500.0,4000.0,3750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Banana - Green,Banana - Green,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Snakeguard,Snakeguard,Local,01/03/2026,1500.0,2000.0,1750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Drumstick,Drumstick,Local,01/03/2026,9500.0,10000.0,9750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Guava,Guava Allahabad,Local,01/03/2026,6500.0,7000.0,6750.0
Tamil Nadu,Pudukkottai,Ponnamaravathi(Uzhavar Sandhai),Lemon,Lemon,Local,01/03/2026,9500.0,10000.0,9750.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Potato,Other,Local,01/03/2026,3000.0,3000.0,3000.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Cauliflower,Ranchi,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Brinjal,Other,Local,01/03/2026,2400.0,2400.0,2400.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Cluster beans,Cluster Beans,Local,01/03/2026,5000.0,5000.0,5000.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Carrot,Pusakesar,Local,01/03/2026,4500.0,5000.0,4750.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Cabbage,Cabbage,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Salem,Vazhapadi(Uzhavar Sandhai),Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01/03/2026,4000.0,4000.0,4000.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Potato,Other,Local,01/03/2026,4000.0,5000.0,4500.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Brinjal,Other,Local,01/03/2026,1500.0,2000.0,1750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Papaya,Papaya,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Tomato,Other,Local,01/03/2026,1300.0,1500.0,1400.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Ashgourd,Gouard,Local,01/03/2026,1500.0,2000.0,1750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Snakeguard,Snakeguard,Local,01/03/2026,2000.0,2500.0,2250.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Thondekai,Thondekai,Local,01/03/2026,2500.0,3000.0,2750.0
Tamil Nadu,Karur,Gandhigramam(Uzhavar Sandhai),Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01/03/2026,3000.0,4000.0,3500.0
West Bengal,Birbhum,Sainthia APMC,Paddy(Common),Common,FAQ,01/03/2026,2371.0,2373.0,2372.0
NCT of Delhi,Delhi,"Fish,Poultry & Egg Market, Gazipur APMC",Cock,Deshi,Local,01/03/2026,30000.0,35000.0,32500.0
